cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss
410,simulation5,2.648095,0.5017303,4.6868196,1.3382721,1.7431104,2.1578636,0.70592093,0.01661918
411,simulation5,2.6634898,0.667419,4.513085,1.5083786,1.6404495,2.1914616,0.6815695,0.01661918
412,simulation5,2.9432695,0.48923796,5.604359,1.3805224,2.149845,2.063119,0.7367194,0.01661918
413,simulation5,2.7960339,0.5842356,5.011039,1.4503335,1.8713387,2.1314645,0.70723474,0.01661918
414,simulation5,2.722523,0.5042794,4.9021387,1.3555554,1.8368741,2.1354992,0.71275574,0.01661918
415,simulation5,2.6445746,0.45722172,4.736748,1.2928745,1.7723415,2.1485364,0.7126313,0.01661918
416,simulation5,2.7810347,0.49873546,5.0861654,1.3610963,1.9187658,2.1159956,0.71937007,0.01661918
417,simulation5,2.6230052,0.4389405,4.698573,1.2701992,1.7587228,2.1509016,0.7134337,0.01661918
418,simulation5,2.7685804,0.55572855,4.9682026,1.4163113,1.8572559,2.1333115,0.7090776,0.01661918
419,simulation5,2.7106204,0.6472357,4.673648,1.49753,1.7133617,2.1724617,0.6891573,0.01661918
420,simulation5,2.7962184,0.6465686,4.925201,1.5135442,1.823305,2.1459844,0.69744986,0.01661918
421,simulation5,2.8395808,0.5701351,5.1633205,1.4441172,1.9407985,2.114572,0.71371204,0.01661918
422,simulation5,2.8178318,0.5641598,5.105326,1.4340698,1.9162102,2.1199577,0.7125384,0.01661918
423,simulation5,2.7390234,0.5225564,4.925888,1.3771678,1.8442212,2.1346908,0.7114606,0.01661918
424,simulation5,2.8883915,0.660612,5.183838,1.5448885,1.9347032,2.1206493,0.7041323,0.01661918
425,simulation5,2.7329724,0.5370864,4.88767,1.3906603,1.825013,2.1399832,0.7085674,0.01661918
426,simulation5,2.748829,0.45200995,5.0548797,1.3079448,1.9128991,2.1149638,0.7236955,0.01661918
427,simulation5,2.6939285,0.55020726,4.7546964,1.3962411,1.7646415,2.1551008,0.70271325,0.01661918
428,simulation5,2.8270993,0.65611726,5.004278,1.5290627,1.8564148,2.1386561,0.6989243,0.01661918
429,simulation5,2.8025923,0.55984,5.065085,1.4268696,1.8991969,2.1236944,0.7117378,0.01661918
430,simulation5,2.7982907,0.46748462,5.183965,1.3327566,1.9672691,2.1031713,0.7260914,0.01661918
431,simulation5,2.5982993,0.55127466,4.479117,1.377826,1.6446915,2.1845834,0.6933545,0.01661918
432,simulation5,2.8371186,0.5329311,5.2090454,1.4059899,1.9672539,2.106553,0.719408,0.01661918
433,simulation5,2.789647,0.59188783,4.981173,1.4568774,1.8569379,2.1352413,0.70540684,0.01661918
434,simulation5,2.7401032,0.5101771,4.946413,1.3648891,1.8553194,2.1314383,0.71353406,0.01661918
435,simulation5,2.8198097,0.61525583,5.0393624,1.4862192,1.8786285,2.1313493,0.70464295,0.01661918
436,simulation5,2.8373172,0.5841927,5.136369,1.4579532,1.9265481,2.1185937,0.7112572,0.01661918
437,simulation5,2.835782,0.4999197,5.252617,1.3723555,1.9921105,2.0991445,0.7245734,0.01661918
438,simulation5,2.672999,0.46009612,4.8163576,1.3014209,1.8066933,2.140434,0.714951,0.01661918
439,simulation5,2.848911,0.59913695,5.150563,1.4752325,1.930308,2.1184943,0.7100161,0.01661918
440,simulation5,2.7791533,0.6562092,4.86145,1.5200598,1.7938001,2.1534967,0.6943068,0.01661918
441,simulation5,2.8050723,0.51817274,5.131659,1.3851994,1.935538,2.1131027,0.71862054,0.01661918
442,simulation5,2.754785,0.49747634,5.0084023,1.3548825,1.8847209,2.1238768,0.71699536,0.01661918
443,simulation5,2.7415981,0.4417404,5.047543,1.296243,1.9114078,2.1147842,0.72463363,0.01661918
444,simulation5,2.8431346,0.5611669,5.187056,1.4356763,1.952787,2.1113431,0.7154881,0.01661918
445,simulation5,2.843453,0.5699246,5.175503,1.4446098,1.9462134,2.1133115,0.714124,0.01661918
446,simulation5,2.8523211,0.5985599,5.1618233,1.4752685,1.9353733,2.1172936,0.7104396,0.01661918
447,simulation5,2.7399535,0.605709,4.8145924,1.4613215,1.7816423,2.153835,0.6984372,0.01661918
448,simulation5,2.7650173,0.57219315,4.934721,1.432273,1.8398136,2.1382718,0.7061281,0.01661918
449,simulation5,2.7293744,0.5377745,4.876039,1.3906572,1.8197994,2.1412578,0.7081091,0.01661918
450,simulation5,2.6288297,0.49938777,4.6342707,1.3320099,1.7206061,2.1632288,0.704425,0.01661918
451,simulation5,2.8458135,0.59845877,5.1420565,1.4739784,1.9266686,2.1193016,0.709822,0.01661918
452,simulation5,2.745756,0.5399386,4.9217486,1.396006,1.8394799,2.136698,0.7093585,0.01661918
453,simulation5,2.873214,0.46239263,5.4248633,1.3410774,2.0749173,2.0784044,0.73434645,0.01661918
454,simulation5,3.0015106,0.63112676,5.580969,1.5344146,2.1156797,2.0781012,0.71984947,0.01661918
455,simulation5,2.8523736,0.4187904,5.423985,1.2933823,2.0820086,2.074537,0.739358,0.01661918
456,simulation5,2.7974603,0.5946201,5.0008445,1.4611176,1.8651278,2.1334558,0.70573294,0.01661918
457,simulation5,2.8404999,0.5003121,5.266675,1.3736037,1.9982679,2.097757,0.72497624,0.01661918
458,simulation5,2.7998626,0.49020934,5.155943,1.3559836,1.9510125,2.1080883,0.72259045,0.01661918
459,simulation5,2.8390923,0.39754972,5.413676,1.2696252,2.0810742,2.0736403,0.74149436,0.01661918
460,simulation5,2.8357167,0.59585524,5.114937,1.469486,1.9151454,2.1218393,0.7092522,0.01661918
461,simulation5,2.8821135,0.61131954,5.235147,1.4936099,1.9656185,2.1109872,0.711318,0.01661918
462,simulation5,2.785606,0.599474,4.9585357,1.4637939,1.8457355,2.1382704,0.7038199,0.01661918
